"station","line","latitude","longitude","postcode","neighborhood","district","district_id"
"Rosenthaler Platz","U8","52.530000","13.401111","10119","Mitte","Mitte","11001001"
"Rudow","U7","52.415833","13.496111","12355","Rudow","Neukölln","11008008"
"Schillingstraße","U5","52.520278","13.421667","10178","Mitte","Mitte","11001001"
"Schlesisches Tor","U1","52.500833","13.441667","10997","Kreuzberg","Friedrichshain-Kreuzberg","11002002"
"Schloßstraße","U9","52.460830","13.324440","12163","Steglitz","Steglitz-Zehlendorf","11006006"
"Schönhauser Allee","U2","52.549329","13.413706","10437","Prenzlauer Berg","Pankow","11003003"
"Spandau","U7","52.534700","13.195800","13597","Spandau","Spandau","11005005"
"Strausberger Platz","U5","52.518056","13.430833","10243","Friedrichshain","Friedrichshain-Kreuzberg","11002002"
"Südkreuz","U6","52.475000","13.365000","","Schöneberg","Tempelhof-Schöneberg","11007007"
"Tempelhof","U6","52.470800","13.385400","12099","Tempelhof","Tempelhof-Schöneberg","11007007"
"Ullsteinstraße","U6","52.453775","13.384303","12099","Tempelhof","Tempelhof-Schöneberg","11007007"
"Warschauer Straße","U1","52.505789","13.449733","10243","Friedrichshain","Friedrichshain-Kreuzberg","11002002"
"Wedding","U6","52.542500","13.366100","13347","Wedding","Mitte","11001001"
"Weinmeisterstraße","U8","52.525833","13.403889","10178","Mitte","Mitte","11001001"
"Westhafen","U9","52.536000","13.344000","10559","Moabit","Mitte","11001001"
"Westhafen","U6","52.536000","13.344000","10559","Moabit","Mitte","11001001"
"Wuhletal","U5","52.512600","13.575200","12619","Hellersdorf","Marzahn-Hellersdorf","11010010"
"Wutzkyallee","U7","52.423333","13.475000","12353","Gropiusstadt","Neukölln","11008008"
"Yorckstraße","U7","52.493056","13.369722","10965","Schöneberg","Tempelhof-Schöneberg","11007007"
"Yorckstraße","U1","52.493056","13.369722","10965","Schöneberg","Tempelhof-Schöneberg","11007007"
"Zoologischer Garten","U9","52.507500","13.334170","","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Zoologischer Garten","U7","52.507500","13.334170","","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Zoologischer Garten","U1","52.507500","13.334170","","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Zoologischer Garten","U2","52.507500","13.334170","","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
"Zoologischer Garten","U3","52.507500","13.334170","","Charlottenburg","Charlottenburg-Wilmersdorf","11004004"
