district_id,neighborhood_canon,n_playgrounds,area_eff_km2,playgrounds_per_km2,playgrounds_density_label
11001001,gesundbrunnen,18,6.123739019057953,2.939380653548661,above average
11001001,mitte,61,10.67358195900944,5.715044886923892,above average
11001001,moabit,49,7.705435414749611,6.359147454043291,above average
11001001,tiergarten,18,5.177866102799861,3.4763355487826817,above average
11001001,wedding,98,9.240705924961098,10.605250377601704,above average
11002002,friedrichshain,84,9.944489731513457,8.446888907110973,above average
11002002,kreuzberg,82,10.37203888299929,7.905870863481376,above average
11003003,blankenburg,1,6.0584268389591225,0.16505935065014446,below average
11003003,buch,8,18.233197926592528,0.43876011395303616,below average
11003003,franzoesischbuchholz,16,12.025817142830762,1.330470920185117,below average
11003003,heinersdorf,3,3.8516538821359707,0.778886185468026,below average
11003003,karow,10,6.605062258850976,1.5139902711136004,average
11003003,niederschoenhausen,18,6.482204022086769,2.77683330217141,above average
11003003,pankow,26,5.652475712639588,4.5997543946736466,above average
11003003,prenzlauerberg,98,11.003472545096235,8.906279322128567,above average
11003003,rosenthal,3,4.918179229905089,0.6099818367249487,below average
11003003,stadtrandsiedlungmalchow,1,5.7043201865882365,0.17530572746445036,below average
11003003,weissensee,34,7.931332846673595,4.286795253367739,above average
11003003,wilhelmsruh,4,1.35968104941859,2.941866404411851,above average
11004004,charlottenburg,45,10.591549804220852,4.248670008809003,above average
11004004,charlottenburgnord,5,6.1964797223828,0.8069097655462504,below average
11004004,grunewald,5,22.34392373002069,0.22377448385585633,below average
11004004,halensee,3,1.2662548439060846,2.369191331774683,above average
11004004,schmargendorf,11,3.586365622933888,3.0671719385379514,above average
11004004,westend,16,13.520978820991873,1.183346280755898,below average
11004004,wilmersdorf,41,7.157516942666392,5.728243513556568,above average
11005005,falkenhagenerfeld,15,6.873154807626353,2.1824039207375656,above average
11005005,gatow,5,10.108140904927145,0.49465080147060314,below average
11005005,hakenfelde,16,20.37203721797131,0.7853902792738621,below average
11005005,haselhorst,9,4.520337340801544,1.991001848194835,average
11005005,kladow,12,14.772671677993586,0.8123107493058311,below average
11005005,siemensstadt,4,5.661235124078463,0.7065595956237767,below average
11005005,spandau,34,8.228773921936753,4.1318427657078765,above average
11005005,staaken,12,10.882774394803457,1.1026599986975767,below average
11005005,wilhelmstadt,15,10.416860111482526,1.4399732586852605,below average
11006006,dahlem,12,8.390951942263928,1.4301118731901983,below average
11006006,lankwitz,19,6.986413908481898,2.7195640351243626,above average
11006006,lichterfelde,32,18.22235385325192,1.7560848756259528,average
11006006,nikolassee,4,19.613362721708892,0.20394259040407345,below average
11006006,schlachtensee,6,,,average
11006006,steglitz,33,6.782406961899834,4.865529329834891,above average
11006006,wannsee,4,23.725337505993917,0.16859612635602966,below average
11006006,zehlendorf,27,18.793177567998782,1.436691581416007,below average
11007007,friedenau,13,1.6542817059696562,7.858395552032087,above average
11007007,lichtenrade,20,10.046521739583023,1.9907387370895286,average
11007007,mariendorf,17,9.372702666666918,1.81377779756727,average
11007007,marienfelde,13,9.138266896025717,1.4225892226515917,below average
11007007,schoeneberg,73,10.637419808311437,6.862566422635893,above average
11007007,tempelhof,23,12.24665269109772,1.8780642008994877,average
11008008,britz,38,12.386424227892693,3.06787490084739,above average
11008008,buckow,12,6.345583079714336,1.8910791725920029,average
11008008,gropiusstadt,8,2.6678356578367026,2.9986854611903073,above average
11008008,neukoelln,57,11.696334730246743,4.873321541713225,above average
11008008,rudow,20,11.81173251569159,1.693231706138833,average
11009009,adlershof,10,6.124648871094604,1.6327466619670539,average
11009009,altglienicke,23,7.872517373067322,2.9215559534597313,above average
11009009,alttreptow,13,2.3127112716935683,5.621108073071426,above average
11009009,baumschulenweg,8,4.821521366713839,1.6592273250574618,average
11009009,bohnsdorf,6,6.520682644538246,0.9201490590905582,below average
11009009,friedrichshagen,10,14.02539388721012,0.7129924535751604,below average
11009009,gruenau,6,9.136677953262085,0.6566938257748057,below average
11009009,johannisthal,17,6.518400250140289,2.60800186359132,above average
11009009,koepenick,32,34.84951924044306,0.9182336140483632,below average
11009009,mueggelheim,3,22.192649868441674,0.13517989144081669,below average
11009009,niederschoeneweide,9,3.4987482479354286,2.572348555032731,above average
11009009,oberschoeneweide,14,8.191946560737186,1.7089955233716945,average
11009009,plaenterwald,5,3.0136269986316435,1.6591303443559147,average
11009009,rahnsdorf,5,21.42969023505735,0.23332115140985,below average
11009009,schmoeckwitz,2,17.118946323284188,0.11682962036511074,below average
11010010,biesdorf,15,12.43518950475301,1.206254234747823,below average
11010010,hellersdorf,33,8.142247621380568,4.0529349553734955,above average
11010010,kaulsdorf,7,8.683232887183278,0.8061513598618572,below average
11010010,mahlsdorf,12,12.981431999082199,0.9243972468405961,below average
11010010,marzahn,86,19.54037458455859,4.401143879194612,above average
11011011,althohenschoenhausen,16,9.347575274171213,1.7116738331287322,average
11011011,falkenberg,2,3.0513182051659045,0.6554544185571944,below average
11011011,fennpfuhl,22,2.121429815263738,10.370364290022454,above average
11011011,friedrichsfelde,35,5.83402786404105,5.999285710602792,above average
11011011,karlshorst,14,6.545313484946774,2.1389349848861894,above average
11011011,lichtenberg,18,7.198748795543168,2.5004345215024055,above average
11011011,malchow,4,1.51710288846972,2.6366043004734787,above average
11011011,neuhohenschoenhausen,30,5.15081925154831,5.8243161980460005,above average
11011011,rummelsburg,15,4.405210367525913,3.4050587255891736,above average
11011011,wartenberg,5,6.919598086684389,0.7225853203268647,below average
11012012,borsigwalde,4,2.042648003892431,1.9582424345152354,average
11012012,frohnau,2,7.836173064159477,0.2552266244791677,below average
