district_id,neighborhood_id,neighborhood,neighborhood_canon,ubahn_stations,bus_tram_stops,total_stops,connectivity_density,mobility_score,mobility_label
11008008,805,Gropiusstadt,gropiusstadt,3,15,18,2.4739155054820037,100.0,well-connected
11011011,1101,Friedrichsfelde,friedrichsfelde,1,26,27,1.4569693868606781,51.939213785354774,well-connected
11011011,1102,Karlshorst,karlshorst,0,22,22,1.0083550643034893,29.627239410754612,moderate
11011011,1103,Lichtenberg,lichtenberg,0,32,32,1.3335650781346162,45.801661693133866,moderate
11009009,901,Alt-Treptow,alttreptow,0,11,11,1.4268966647027463,50.44353749410861,moderate
11009009,902,Plänterwald,plaenterwald,0,12,12,1.1945738479362584,38.88888916103403,moderate
11009009,908,Bohnsdorf,bohnsdorf,0,18,18,0.8281341531815024,20.663895735501658,remote
11009009,909,Oberschöneweide,oberschoeneweide,0,16,16,0.5859413222988666,8.61835914727476,remote
11009009,910,Köpenick,koepenick,0,64,64,0.5509401684290179,6.877565755360823,remote
11009009,911,Friedrichshagen,friedrichshagen,0,19,19,0.4064056985378415,0.0,remote
11011011,1104,Falkenberg,falkenberg,0,5,5,0.49159081391789583,3.9258069495941843,remote
11011011,1106,Malchow,malchow,0,3,3,0.5932359676065326,8.981160625053466,remote
11011011,1107,Wartenberg,wartenberg,0,8,8,0.3468409537568951,0.0,remote
11011011,1109,Neu-Hohenschönhausen,neuhohenschoenhausen,0,23,23,1.33959272555058,46.101448632430625,moderate
11011011,1110,Alt-Hohenschönhausen,althohenschoenhausen,0,38,38,1.2195676061042218,40.13196158143688,moderate
11011011,1111,Fennpfuhl,fennpfuhl,0,9,9,1.2727265265027556,42.77583720037078,moderate
11011011,1112,Rummelsburg,rummelsburg,1,21,22,1.5890274052749476,58.507160849604034,well-connected
11012012,1201,Reinickendorf,reinickendorf,7,72,79,2.5296493387130745,100.0,well-connected
11012012,1202,Tegel,tegel,3,49,52,0.49970036263395107,4.329137904590901,remote
11012012,1203,Konradshöhe,konradshoehe,0,7,7,0.9600094054230139,27.222752866687983,remote
11012012,1204,Heiligensee,heiligensee,0,23,23,0.645793832809487,11.595142574866307,remote
11012012,1205,Frohnau,frohnau,0,20,20,0.7656798734375032,17.557712497104088,remote
11012012,1206,Hermsdorf,hermsdorf,0,22,22,1.0897552337087308,33.67570242795205,moderate
11012012,1207,Waidmannslust,waidmannslust,0,9,9,1.209970918175059,39.654667290126746,moderate
11012012,1208,Lübars,luebars,0,7,7,0.41929234656409425,0.33001994545713076,remote
11012012,1209,Wittenau,wittenau,1,31,32,1.6968397696067277,63.869242685341874,well-connected
11012012,1210,Märkisches Viertel,maerkischesviertel,0,28,28,2.5890435788312103,100.0,well-connected
11012012,1211,Borsigwalde,borsigwalde,0,8,8,1.1749454607091412,37.91266515122137,moderate
