district,neighborhood,hashtags,source
Neukölln,Rudow,#mobility;#well-connected,mobility.ipynb:rule-based
Neukölln,Gropiusstadt,#mobility;#well-connected,mobility.ipynb:rule-based
Lichtenberg,Friedrichsfelde,#mobility;#well-connected,mobility.ipynb:rule-based
Lichtenberg,Karlshorst,#mobility;#moderate,mobility.ipynb:rule-based
Lichtenberg,Lichtenberg,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Alt-Treptow,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Plänterwald,#mobility;#moderate,mobility.ipynb:rule-based
Treptow-Köpenick,Bohnsdorf,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Oberschöneweide,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Köpenick,#mobility;#remote,mobility.ipynb:rule-based
Treptow-Köpenick,Friedrichshagen,#mobility;#remote,mobility.ipynb:rule-based
Lichtenberg,Falkenberg,#mobility;#remote,mobility.ipynb:rule-based
Lichtenberg,Malchow,#mobility;#remote,mobility.ipynb:rule-based
Lichtenberg,Wartenberg,#mobility;#remote,mobility.ipynb:rule-based
Lichtenberg,Neu-Hohenschönhausen,#mobility;#moderate,mobility.ipynb:rule-based
Lichtenberg,Alt-Hohenschönhausen,#mobility;#moderate,mobility.ipynb:rule-based
Lichtenberg,Fennpfuhl,#mobility;#moderate,mobility.ipynb:rule-based
Lichtenberg,Rummelsburg,#mobility;#well-connected,mobility.ipynb:rule-based
Reinickendorf,Reinickendorf,#mobility;#well-connected,mobility.ipynb:rule-based
Reinickendorf,Tegel,#mobility;#remote,mobility.ipynb:rule-based
Reinickendorf,Konradshöhe,#mobility;#remote,mobility.ipynb:rule-based
Reinickendorf,Heiligensee,#mobility;#remote,mobility.ipynb:rule-based
Reinickendorf,Frohnau,#mobility;#remote,mobility.ipynb:rule-based
Reinickendorf,Hermsdorf,#mobility;#moderate,mobility.ipynb:rule-based
Reinickendorf,Waidmannslust,#mobility;#moderate,mobility.ipynb:rule-based
Reinickendorf,Lübars,#mobility;#remote,mobility.ipynb:rule-based
Reinickendorf,Wittenau,#mobility;#well-connected,mobility.ipynb:rule-based
Reinickendorf,Märkisches Viertel,#mobility;#well-connected,mobility.ipynb:rule-based
Reinickendorf,Borsigwalde,#mobility;#moderate,mobility.ipynb:rule-based
